               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12124,             0.01639,            0.050844,           0.0014126,             0.26136,           0.0022309,          0.00060474,            0.082623,           0.0076859,            0.031056,              0.0982,              0.0002,              0.0002
                   1,              0.1205,            0.016006,            0.050194,           0.0014671,             0.38636,            0.002594,          0.00096346,            0.079445,           0.0079729,            0.030801,            0.095497,           0.0004967,           0.0004967
                   2,             0.11271,            0.016697,            0.048069,           0.0022603,             0.48864,            0.010866,            0.003441,            0.075299,           0.0084902,            0.030264,            0.092789,          0.00078944,          0.00078944
                   3,              0.1066,            0.018426,            0.048096,           0.0030927,             0.71591,            0.020635,           0.0080155,            0.068323,           0.0091979,            0.029771,            0.090078,           0.0010782,           0.0010782
                   4,            0.095893,            0.019676,            0.047061,           0.0032858,             0.89773,            0.045194,            0.014458,            0.061639,           0.0094161,            0.029025,            0.087363,            0.001363,            0.001363
                   5,            0.088014,            0.021115,            0.045775,           0.0036614,             0.97727,            0.058433,            0.019082,             0.05637,           0.0094015,            0.028288,            0.084644,           0.0016439,           0.0016439
                   6,            0.083888,            0.022982,            0.044268,           0.0037124,                   1,            0.075626,            0.026715,            0.051007,           0.0095222,            0.027231,            0.081921,           0.0019208,           0.0019208
                   7,            0.082942,            0.023646,            0.044238,             0.09792,             0.46591,             0.13461,            0.049035,            0.045921,           0.0096936,            0.025952,            0.079194,           0.0021937,           0.0021937
                   8,            0.077018,             0.02607,            0.041133,             0.13747,             0.20455,             0.19732,            0.069853,            0.041058,           0.0095885,            0.024602,            0.076463,           0.0024627,           0.0024627
                   9,            0.072212,             0.02495,            0.040734,             0.27087,             0.30102,             0.30815,             0.13026,            0.040503,            0.009093,            0.023835,            0.073728,           0.0027277,           0.0027277
                  10,            0.067869,            0.025699,            0.039509,             0.27091,             0.44318,             0.40002,             0.18889,            0.037748,           0.0087267,            0.022823,            0.070989,           0.0029888,           0.0029888
                  11,             0.06549,            0.024477,            0.035682,             0.42222,             0.48873,              0.4975,             0.23372,             0.03542,           0.0083649,            0.021651,            0.068246,           0.0032459,           0.0032459
                  12,            0.062251,            0.024608,            0.037002,              0.4675,              0.5787,             0.51145,             0.23368,            0.033426,           0.0087978,            0.019881,            0.065499,            0.003499,            0.003499
                  13,            0.058346,            0.022347,            0.035586,             0.40437,             0.70519,             0.60315,             0.28781,              0.0341,           0.0093281,            0.018479,            0.062748,           0.0037482,           0.0037482
                  14,            0.059046,            0.021647,            0.034887,             0.38127,             0.63636,             0.56642,             0.28351,            0.035407,           0.0093849,            0.017746,            0.059993,           0.0039934,           0.0039934
                  15,            0.056727,            0.021406,             0.03284,             0.48564,             0.71591,             0.60403,             0.26292,            0.035576,           0.0098733,            0.016927,            0.057235,           0.0042347,           0.0042347
                  16,            0.052427,            0.021763,            0.029998,             0.38738,             0.67822,             0.54848,             0.28847,            0.041649,           0.0096435,            0.015733,            0.054472,            0.004472,            0.004472
                  17,            0.053237,             0.02126,            0.031637,              0.4711,             0.75773,              0.5953,             0.23109,            0.038663,           0.0087092,            0.014778,            0.051705,           0.0047053,           0.0047053
                  18,            0.052037,             0.01925,            0.027896,             0.40888,                0.75,             0.61516,             0.30478,            0.037296,           0.0079036,            0.014553,            0.048935,           0.0049347,           0.0049347
                  19,              0.0564,            0.021955,            0.029727,              0.3376,             0.76136,             0.51758,             0.29961,            0.041766,           0.0072325,            0.014408,             0.04616,           0.0051601,           0.0051601
                  20,            0.053112,            0.019227,            0.030417,             0.55322,             0.84272,             0.76055,             0.38451,            0.032067,           0.0067191,             0.01416,            0.043382,           0.0053816,           0.0053816
                  21,            0.052643,            0.018697,            0.028705,             0.59647,             0.80682,             0.79314,             0.39445,             0.03433,           0.0063136,            0.013856,            0.040599,           0.0055991,           0.0055991
                  22,            0.053619,            0.019258,            0.026236,             0.35736,             0.61364,             0.46885,             0.21962,            0.037906,           0.0064145,            0.013191,            0.037813,           0.0058126,           0.0058126
                  23,            0.051905,            0.019626,            0.026388,             0.36635,             0.75564,             0.50952,             0.26655,            0.035969,           0.0061833,            0.013221,            0.035022,           0.0060222,           0.0060222
                  24,            0.056327,            0.018542,             0.02771,             0.68307,             0.78959,             0.79647,             0.37509,            0.035118,           0.0060166,            0.013579,            0.032228,           0.0062278,           0.0062278
                  25,            0.049229,            0.019407,            0.027531,              0.4401,             0.65606,             0.56688,             0.27406,            0.033672,           0.0071683,            0.014662,            0.029429,           0.0064295,           0.0064295
                  26,            0.050173,            0.018468,            0.024116,              0.4294,             0.57182,             0.53603,             0.30581,            0.035836,           0.0069346,            0.013578,            0.026627,           0.0066272,           0.0066272
                  27,             0.04956,            0.018461,            0.021261,              0.4699,             0.66325,             0.59113,              0.3498,            0.033227,           0.0073777,            0.012044,            0.023821,           0.0068209,           0.0068209
                  28,            0.053676,            0.018703,            0.022737,               0.553,             0.84194,             0.74964,             0.38833,            0.040365,           0.0059801,            0.010832,            0.021011,           0.0070107,           0.0070107
                  29,             0.05141,            0.018137,            0.023497,             0.58565,             0.90909,             0.80505,             0.41976,            0.033203,           0.0053929,           0.0096339,            0.018197,           0.0071965,           0.0071965
                  30,            0.053628,            0.019191,            0.022305,             0.62793,             0.76136,             0.78298,              0.3624,            0.038856,           0.0053391,           0.0089971,            0.015378,           0.0073784,           0.0073784
                  31,            0.052806,            0.014947,            0.022443,             0.66977,             0.73132,              0.8097,             0.45471,             0.03507,           0.0055152,           0.0085951,            0.012556,           0.0075563,           0.0075563
                  32,            0.050745,            0.017992,            0.021938,             0.50087,             0.82587,             0.77589,             0.45092,            0.035473,           0.0057276,           0.0079368,           0.0097302,           0.0077302,           0.0077302
                  33,            0.048068,            0.017148,            0.022526,             0.41428,             0.78627,             0.71402,             0.31583,            0.039756,           0.0057512,           0.0076456,            0.007822,            0.007822,            0.007822
                  34,            0.050086,            0.017041,            0.019619,             0.58958,             0.85208,             0.79963,             0.48405,            0.034428,           0.0055725,           0.0077283,            0.007822,            0.007822,            0.007822
                  35,            0.045252,            0.017424,              0.0205,             0.66619,             0.83671,             0.84887,              0.4536,            0.030696,           0.0054427,           0.0080024,            0.007756,            0.007756,            0.007756
                  36,            0.048682,            0.017938,            0.019405,             0.63589,             0.69604,             0.75297,             0.33473,            0.036225,           0.0051374,           0.0074164,             0.00769,             0.00769,             0.00769
                  37,            0.046659,             0.01627,            0.021279,             0.43227,             0.81647,             0.67283,             0.37852,            0.036647,           0.0059858,           0.0066159,            0.007624,            0.007624,            0.007624
                  38,            0.043614,             0.01672,            0.016406,             0.79117,             0.84761,             0.90137,             0.45916,            0.026484,           0.0053779,           0.0053206,            0.007558,            0.007558,            0.007558
                  39,             0.04531,            0.018295,            0.017023,             0.58154,             0.89806,             0.76833,             0.39036,             0.02786,            0.004941,           0.0046663,            0.007492,            0.007492,            0.007492
                  40,            0.044262,            0.017978,            0.015923,             0.64382,             0.81818,             0.76556,             0.45848,            0.028566,           0.0050366,           0.0049846,            0.007426,            0.007426,            0.007426
                  41,            0.042852,            0.016464,            0.013995,             0.67008,             0.88548,             0.80737,             0.46421,            0.039637,           0.0051027,            0.005666,             0.00736,             0.00736,             0.00736
                  42,            0.048024,            0.016516,            0.013965,             0.80547,             0.85912,             0.88129,              0.4926,             0.02337,           0.0047345,           0.0056807,            0.007294,            0.007294,            0.007294
                  43,            0.044809,            0.016241,            0.016504,              0.7351,             0.84091,             0.89373,              0.5929,            0.021424,           0.0044996,           0.0045355,            0.007228,            0.007228,            0.007228
                  44,            0.040323,            0.014604,            0.013704,             0.62997,             0.86676,             0.78131,             0.51456,            0.025299,           0.0043513,           0.0037032,            0.007162,            0.007162,            0.007162
                  45,            0.044487,            0.015359,            0.013769,             0.81376,              0.7498,              0.8831,              0.5335,             0.03369,           0.0046719,           0.0033821,            0.007096,            0.007096,            0.007096
                  46,            0.047228,             0.01533,            0.014076,             0.73936,             0.82565,             0.87871,             0.51433,            0.024553,           0.0047099,           0.0035965,             0.00703,             0.00703,             0.00703
                  47,            0.038211,            0.015808,            0.012103,             0.80934,             0.79323,             0.87406,             0.49904,            0.024246,           0.0045487,           0.0040012,            0.006964,            0.006964,            0.006964
                  48,            0.040839,             0.01558,            0.014967,             0.78233,             0.86477,             0.86312,             0.57906,            0.024232,           0.0044984,           0.0039528,            0.006898,            0.006898,            0.006898
                  49,             0.04074,            0.015274,            0.011769,              0.6752,             0.88257,              0.8289,              0.5184,            0.026254,           0.0045862,           0.0038966,            0.006832,            0.006832,            0.006832
                  50,            0.043038,             0.01567,            0.013154,              0.7277,             0.86364,             0.83903,             0.45449,            0.024435,           0.0045867,           0.0040514,            0.006766,            0.006766,            0.006766
                  51,            0.044614,            0.015034,            0.013202,             0.69877,             0.85788,             0.86029,              0.4685,            0.026386,            0.004675,           0.0039563,              0.0067,              0.0067,              0.0067
                  52,            0.038847,            0.015047,            0.010449,             0.71183,             0.88486,             0.86732,             0.51661,             0.02439,           0.0045672,           0.0035103,            0.006634,            0.006634,            0.006634
                  53,            0.039944,            0.016388,            0.013511,             0.81428,             0.90382,             0.92606,              0.6027,            0.026309,           0.0043155,           0.0026348,            0.006568,            0.006568,            0.006568
                  54,            0.038089,            0.014218,           0.0090671,             0.86575,             0.98069,              0.9693,             0.59181,            0.022624,           0.0041917,            0.002325,            0.006502,            0.006502,            0.006502
                  55,            0.036685,            0.015168,           0.0096351,             0.79185,             0.88394,              0.8949,             0.64248,            0.022742,           0.0040398,           0.0023204,            0.006436,            0.006436,            0.006436
                  56,            0.037712,            0.015515,            0.012836,             0.86869,             0.94318,              0.9281,             0.63095,            0.021203,            0.004046,           0.0024526,             0.00637,             0.00637,             0.00637
                  57,            0.035961,            0.016521,           0.0086756,             0.90633,             0.98864,             0.96228,             0.63576,            0.020276,           0.0042631,           0.0026779,            0.006304,            0.006304,            0.006304
                  58,            0.036701,            0.014646,            0.011469,             0.83013,             0.94452,             0.96931,             0.67107,            0.023944,           0.0041847,           0.0025941,            0.006238,            0.006238,            0.006238
                  59,            0.036379,             0.01473,            0.012602,             0.73381,             0.97352,              0.9291,             0.65705,            0.020871,           0.0042436,           0.0024508,            0.006172,            0.006172,            0.006172
                  60,            0.035653,            0.015221,           0.0080917,             0.85119,             0.96898,             0.91318,             0.61294,            0.020215,             0.00419,           0.0027147,            0.006106,            0.006106,            0.006106
                  61,            0.034231,            0.014049,           0.0095303,             0.90487,             0.96552,             0.97428,             0.71043,             0.01785,           0.0039547,           0.0031358,             0.00604,             0.00604,             0.00604
                  62,            0.034442,            0.013902,             0.01061,             0.75728,             0.95903,             0.89238,             0.60005,            0.020556,           0.0039432,           0.0028945,            0.005974,            0.005974,            0.005974
                  63,            0.038101,            0.014598,           0.0099374,             0.90559,             0.93804,             0.96234,                0.69,            0.019223,           0.0039302,           0.0028487,            0.005908,            0.005908,            0.005908
                  64,            0.034343,            0.014107,           0.0096073,             0.92088,             0.96591,             0.96383,              0.6287,            0.020987,           0.0038605,           0.0028599,            0.005842,            0.005842,            0.005842
                  65,            0.035097,            0.014613,            0.010612,             0.95272,                   1,             0.99457,             0.74779,            0.015129,           0.0036674,           0.0022139,            0.005776,            0.005776,            0.005776
                  66,            0.034738,             0.01414,           0.0088969,             0.72442,             0.94052,             0.89523,             0.66595,            0.025199,           0.0036215,           0.0018564,             0.00571,             0.00571,             0.00571
                  67,            0.035304,            0.013439,            0.008769,             0.98456,             0.99983,             0.99457,             0.74326,            0.017173,           0.0033083,           0.0017833,            0.005644,            0.005644,            0.005644
                  68,            0.034825,             0.01317,           0.0090269,             0.98355,                   1,             0.99109,             0.72602,            0.018634,           0.0034154,           0.0016383,            0.005578,            0.005578,            0.005578
                  69,            0.033423,            0.014508,           0.0097051,             0.85032,             0.99202,             0.96771,             0.55191,            0.023405,           0.0038727,            0.001574,            0.005512,            0.005512,            0.005512
                  70,            0.037172,            0.015364,           0.0071911,             0.92411,             0.96669,             0.97848,             0.71992,            0.017738,           0.0035802,           0.0016821,            0.005446,            0.005446,            0.005446
                  71,            0.032732,            0.013862,           0.0073912,             0.97211,             0.99758,             0.99402,             0.63841,            0.019368,           0.0037214,           0.0016662,             0.00538,             0.00538,             0.00538
                  72,            0.034982,            0.013347,            0.005849,              0.9813,              0.9897,               0.995,              0.7504,             0.01457,           0.0035437,           0.0016679,            0.005314,            0.005314,            0.005314
                  73,            0.031574,            0.013397,            0.009612,             0.98414,             0.99677,               0.995,             0.75002,            0.015371,           0.0033296,           0.0016467,            0.005248,            0.005248,            0.005248
                  74,            0.032991,             0.01297,           0.0080152,             0.98372,             0.98864,             0.99217,             0.76859,            0.017107,           0.0033097,           0.0016106,            0.005182,            0.005182,            0.005182
                  75,               0.033,            0.012839,           0.0093245,             0.99569,             0.98864,             0.99457,             0.79193,            0.014319,           0.0032401,           0.0017127,            0.005116,            0.005116,            0.005116
                  76,            0.032484,             0.01336,            0.006897,             0.92597,             0.97727,             0.94312,             0.74448,            0.018642,           0.0032141,           0.0024787,             0.00505,             0.00505,             0.00505
                  77,            0.032373,            0.014184,           0.0088755,             0.94838,             0.99608,             0.97242,             0.77073,            0.017459,            0.003225,           0.0018098,            0.004984,            0.004984,            0.004984
                  78,            0.031918,            0.014368,             0.00936,             0.98372,             0.99119,             0.99457,              0.7976,            0.014893,           0.0031916,              0.0018,            0.004918,            0.004918,            0.004918
